DS_GENERO,SG_PARTIDO,count,sum,mean,median
FEMININO,AGIR,10,1408931728.75,140893172.875,1095259.7149999999
FEMININO,AVANTE,36,20738947.58,576081.8772222222,269988.0
FEMININO,CIDADANIA,12,15017779.239999998,1251481.6033333333,475426.48
FEMININO,DC,8,8974500.0,1121812.5,252500.0
FEMININO,MDB,269,220131128.47,818331.3326022305,295263.73
FEMININO,MOBILIZA,9,12890810.19,1432312.2433333332,389786.06
FEMININO,NOVO,36,52422773.86,1456188.1627777778,464707.12
FEMININO,PC do B,7,4433579.2,633368.4571428571,353567.0
FEMININO,PCO,4,773785.69,193446.4225,135644.06
FEMININO,PDT,56,34817421.93,621739.6773214285,222179.17
FEMININO,PL,189,258118624.45,1365707.0076719576,344000.0
FEMININO,PMB,9,1948370.0,216485.55555555556,198000.0
FEMININO,PODE,60,31771136.39,529518.9398333334,214500.0
FEMININO,PP,177,103003790.19,581942.3174576272,300000.0
FEMININO,PRD,34,25887431.48,761395.0435294118,322083.65
FEMININO,PRTB,6,500085.13,83347.52166666667,56500.0
FEMININO,PSB,112,69744773.44,622721.1914285714,294500.0
FEMININO,PSD,217,142642495.4,657338.6884792628,270500.0
FEMININO,PSDB,97,164051433.22,1691251.8888659794,294195.74
FEMININO,PSOL,40,13930715.08,348267.877,83750.0
FEMININO,PSTU,4,536060.06,134015.015,145987.625
FEMININO,PT,230,116468254.85,506383.7167391304,286000.0
FEMININO,PV,10,13721728.219999999,1372172.822,390552.85
FEMININO,REDE,15,4632300.62,308820.04133333336,210000.0
FEMININO,REPUBLICANOS,147,119850220.42,815307.6219047619,300154.14
FEMININO,SOLIDARIEDADE,38,28786024.45,757526.9592105263,399099.0
FEMININO,UNIÃO,180,158260066.22,879222.590111111,353340.0
FEMININO,UP,5,184441.26,36888.252,27803.69
MASCULINO,AGIR,53,42846595.14,808426.3233962264,326199.29
MASCULINO,AVANTE,315,479344395.27,1521728.2389523808,503000.0
MASCULINO,CIDADANIA,86,79622526.02,925843.3258139534,556251.87
MASCULINO,DC,67,80593741.0,1202891.656716418,530000.0
MASCULINO,MDB,1520,2429853801.51,1598588.0273092107,514067.76
MASCULINO,MOBILIZA,111,116650565.89,1050905.999009009,330000.0
MASCULINO,NOVO,188,403365184.61,2145559.4926063833,612479.705
MASCULINO,PC do B,46,24844017.89,540087.3454347827,382000.0
MASCULINO,PCB,6,1368104.17,228017.36166666666,180052.085
MASCULINO,PCO,9,1809792.71,201088.07888888888,22834.52
MASCULINO,PDT,483,2112612240.39,4373938.385900621,500000.0
MASCULINO,PL,1206,2632921286.09,2183185.1460116087,549560.1799999999
MASCULINO,PMB,49,60116906.46,1226875.6420408164,294000.0
MASCULINO,PODE,387,582977419.16,1506401.5998966407,452394.87
MASCULINO,PP,1209,1740915783.92,1439963.427559967,519000.0
MASCULINO,PRD,240,328768359.3,1369868.16375,568500.0
MASCULINO,PRTB,50,3051535512.59,61030710.2518,319464.15
MASCULINO,PSB,601,884456415.27,1471641.289966722,402133.22
MASCULINO,PSD,1409,2177542202.65,1545452.2375088716,440000.0
MASCULINO,PSDB,542,1169814666.37,2158329.642749077,529275.55
MASCULINO,PSOL,117,42871758.42,366425.28564102564,160927.59
MASCULINO,PSTU,25,7745676.19,309827.0476,180000.0
MASCULINO,PT,1014,1050721234.25,1036214.2349605523,395000.0
MASCULINO,PV,74,130228306.22999999,1759841.976081081,365359.36
MASCULINO,REDE,61,88493267.21000001,1450709.2985245902,380000.0
MASCULINO,REPUBLICANOS,846,1359850801.93,1607388.6547635936,439615.0
MASCULINO,SOLIDARIEDADE,206,215687594.63,1047027.1583980583,427500.0
MASCULINO,UNIÃO,990,2444496985.11,2469188.873848485,519198.435
MASCULINO,UP,8,1222812.58,152851.5725,13914.619999999999
