SG_PARTIDO,count,sum,mean,median
AGIR,63,1451778323.89,23044100.379206352,350000.0
AVANTE,351,500083342.85,1424738.8685185185,500000.0
CIDADANIA,98,94640305.26,965717.400612245,539221.85
DC,75,89568241.0,1194243.2133333334,478000.0
MDB,1789,2649984929.98,1481266.031291224,487067.0
MOBILIZA,120,129541376.08,1079511.4673333333,338569.67
NOVO,224,455787958.47,2034767.6717410716,591484.5
PC do B,53,29277597.09,552407.492264151,380000.0
PCB,6,1368104.17,228017.36166666666,180052.085
PCO,13,2583578.4,198736.8,71288.12
PDT,539,2147429662.3200002,3984099.559035251,450000.0
PL,1395,2891039910.54,2072430.0433978494,508755.6
PMB,58,62065276.46,1070090.9734482758,282250.0
PODE,447,614748555.55,1375276.4106263982,420000.0
PP,1386,1843919574.11,1330389.303109668,470132.64
PRD,274,354655790.78,1294364.199927007,539761.905
PRTB,56,3052035597.7200003,54500635.67357143,295062.0
PSB,713,954201188.71,1338290.587251052,380798.85
PSD,1626,2320184698.05,1426927.858579336,410000.0
PSDB,639,1333866099.59,2087427.3858998434,483109.35
PSOL,157,56802473.5,361799.1942675159,150000.0
PSTU,29,8281736.25,285577.1120689655,175000.0
PT,1244,1167189489.1,938255.2163183279,360000.0
PV,84,143950034.45,1713690.8863095236,365359.36
REDE,76,93125567.83,1225336.4188157895,317000.0
REPUBLICANOS,993,1479701022.35,1490131.9459718026,410000.0
SOLIDARIEDADE,244,244473619.08,1001941.0618032787,423514.1
UNIÃO,1170,2602757051.33,2224578.6763504273,505565.85
UP,13,1407253.84,108250.2953846154,26402.0
