DS_COR_RACA,DS_GENERO,count,sum,mean,median
AMARELA,FEMININO,353,77894935.79,220665.54048158642,93000.0
AMARELA,MASCULINO,696,278517562.5,400168.911637931,140000.0
BRANCA,FEMININO,40777,11594562598.08,284340.7459616941,96230.0
BRANCA,MASCULINO,88487,55241324887.85,624287.4646880332,150000.0
INDÍGENA,FEMININO,297,31502777.28,106069.95717171718,43500.0
INDÍGENA,MASCULINO,600,58289773.12,97149.62186666667,39000.0
NÃO INFORMADO,FEMININO,476,93260473.92,195925.36537815127,85000.0
NÃO INFORMADO,MASCULINO,1184,271780202.58,229544.0900168919,100000.0
PARDA,FEMININO,29971,5295435466.73,176685.31135864666,61950.0
PARDA,MASCULINO,75278,26689671711.32,354548.09786816867,91000.0
PRETA,FEMININO,8594,1285068373.0,149530.87886897835,58000.0
PRETA,MASCULINO,18544,5297736578.94,285684.67315250216,75000.0
