DS_GENERO,SG_PARTIDO,count,sum,mean,median
FEMININO,AGIR,1064,300988561.44,282883.98631578946,75000.0
FEMININO,AVANTE,2656,423298432.22,159374.40972138554,60000.0
FEMININO,CIDADANIA,863,177076557.44,205187.20444959443,65000.0
FEMININO,DC,1007,200033920.06,198643.4161469712,70000.0
FEMININO,MDB,8227,2084638573.72,253389.88376321868,80000.0
FEMININO,MOBILIZA,963,139686221.19,145053.18919003115,50000.0
FEMININO,NOVO,1282,489349937.63,381708.2196801872,147151.22
FEMININO,PC do B,631,95471584.9,151302.03629160064,76000.0
FEMININO,PCB,5,2840388.48,568077.696,300000.0
FEMININO,PCO,10,3047797.23,304779.723,198906.5
FEMININO,PDT,3893,725683338.96,186407.2280914462,78000.0
FEMININO,PL,6688,1694863356.64,253418.56409090912,90060.0
FEMININO,PMB,580,113669664.05,195982.1793965517,75000.0
FEMININO,PODE,4068,830269390.29,204097.68689528023,79161.66500000001
FEMININO,PP,7219,1497797187.22,207479.87078819782,79783.41
FEMININO,PRD,2722,696024520.86,255703.35079353416,72156.0
FEMININO,PRTB,627,100813786.73,160787.5386443381,63000.0
FEMININO,PSB,4400,850132670.27,193211.97051590908,66963.75
FEMININO,PSD,7041,1384404479.26,196620.4344922596,70000.0
FEMININO,PSDB,3965,806272006.17,203347.290332913,80000.0
FEMININO,PSOL,586,99953830.8,170569.67713310578,75000.0
FEMININO,PSTU,22,4243979.71,192908.16863636364,95000.0
FEMININO,PT,5687,1564817151.72,275156.87563214346,80000.0
FEMININO,PV,842,152864008.12,181548.7032304038,80355.0
FEMININO,REDE,639,99144801.26,155156.18350547733,60352.0
FEMININO,REPUBLICANOS,5859,1930912990.39,329563.57576207543,70000.0
FEMININO,SOLIDARIEDADE,2335,400158042.94,171373.89419271948,70000.0
FEMININO,UNIÃO,6576,1508143683.72,229340.58450729927,80000.0
FEMININO,UP,11,1123761.38,102160.12545454544,15000.0
MASCULINO,AGIR,2657,716086608.14,269509.4498080542,95243.45999999999
MASCULINO,AVANTE,6439,1687398034.15,262059.02067867684,95000.0
MASCULINO,CIDADANIA,1893,510936950.84,269908.584701532,110000.0
MASCULINO,DC,2507,1003029488.73,400091.5391822896,99139.22
MASCULINO,MDB,18818,7261484605.49,385879.72183494526,126000.0
MASCULINO,MOBILIZA,2375,619560547.76,260867.5990568421,85000.0
MASCULINO,NOVO,2983,1226673097.84,411221.28657056653,169677.0
MASCULINO,PC do B,1102,537212948.47,487489.0639473685,99021.535
MASCULINO,PCB,7,2205320.37,315045.76714285713,312276.22
MASCULINO,PCO,13,3916425.4,301263.4923076923,76500.0
MASCULINO,PDT,8861,3999706034.91,451383.14354023244,102000.0
MASCULINO,PL,15369,19467693528.84,1266685.765426508,139968.74
MASCULINO,PMB,1340,358573384.31,267592.0778432836,100000.0
MASCULINO,PODE,9465,3406562134.9,359911.477538299,109000.0
MASCULINO,PP,16828,5067773602.59,301151.27184395056,119000.0
MASCULINO,PRD,6655,2128344745.18,319811.3816949662,107000.0
MASCULINO,PRTB,1560,427602992.34,274104.48226923076,95940.455
MASCULINO,PSB,10327,2676638181.66,259188.35883218746,99990.0
MASCULINO,PSD,16337,6142094571.93,375962.20676562405,114952.0
MASCULINO,PSDB,9027,2719577944.07,301271.51258114545,114000.0
MASCULINO,PSOL,1049,206073177.19,196447.26138226883,80000.0
MASCULINO,PSTU,17,1916357.12,112726.88941176471,85000.0
MASCULINO,PT,11447,4049036633.02,353720.33135494014,100000.0
MASCULINO,PV,1714,859299345.55,501341.5084889148,111770.0
MASCULINO,REDE,1474,338321826.63,229526.3409972863,84599.09
MASCULINO,REPUBLICANOS,13747,5323346070.06,387236.9295162581,108000.0
MASCULINO,SOLIDARIEDADE,5642,1343341134.79,238096.62084190003,100000.0
MASCULINO,UNIÃO,15122,15752193288.75,1041673.9378885068,113137.0
MASCULINO,UP,14,721735.28,51552.520000000004,28300.0
