SG_PARTIDO,count,sum,mean,median
AGIR,3721,1017075169.58,273333.8268153722,87500.0
AVANTE,9095,2110696466.37,232072.17882023088,81000.0
CIDADANIA,2756,688013508.28,249642.05670537008,99250.0
DC,3514,1203063408.79,342362.9507085942,90000.0
MDB,27045,9346123179.210001,345576.7490926234,109105.31
MOBILIZA,3338,759246768.95,227455.59285500302,74000.0
NOVO,4265,1716023035.47,402350.066933177,160000.0
PC do B,1733,632684533.37,365080.5155049048,89000.0
PCB,12,5045708.85,420475.7375,306138.11
PCO,23,6964222.63,302792.28826086957,128000.0
PDT,12754,4725389373.87,370502.53833071975,95893.65
PL,22057,21162556885.48,959448.5598893774,121385.0
PMB,1920,472243048.36,245959.92102083334,90000.0
PODE,13533,4236831525.19,313074.0800406414,100000.0
PP,24047,6565570789.81,273030.7643286065,101259.39
PRD,9377,2824369266.04,301201.7986605524,96035.0
PRTB,2187,528416779.07,241617.18293095563,85000.0
PSB,14727,3526770851.93,239476.5296346846,87000.0
PSD,23378,7526499051.190001,321947.9446997177,100000.0
PSDB,12992,3525849950.2400002,271386.2338546798,100000.0
PSOL,1635,306027007.99,187172.48195107034,80000.0
PSTU,39,6160336.83,157957.35461538463,90000.0
PT,17134,5613853784.74,327644.0868880588,92055.75
PV,2556,1012163353.6700001,395995.0522965572,100000.0
REDE,2113,437466627.89,207035.79171320397,80000.0
REPUBLICANOS,19606,7254259060.45,370001.9922702234,98000.0
SOLIDARIEDADE,7977,1743499177.73,218565.77381597093,90000.0
UNIÃO,21698,17260336972.47,795480.5499340954,100000.0
UP,25,1845496.66,73819.8664,28000.0
