NM_UE,FEMININO,MASCULINO
ABADIA DE GOIÁS,24,48
ABADIA DOS DOURADOS,18,33
ABADIÂNIA,36,64
ABAETETUBA,85,160
ABAETÉ,27,62
ABAIARA,13,26
ABARÉ,16,29
ABATIÁ,26,47
ABAÍRA,8,19
ABDON BATISTA,12,21
ABEL FIGUEIREDO,22,41
ABELARDO LUZ,20,44
ABRE CAMPO,15,39
ABREU E LIMA,71,130
ABREULÂNDIA,7,10
ACAIACA,27,58
ACAJUTIBA,18,45
ACARAPE,21,41
ACARAÚ,27,53
ACARI,15,21
ACARÁ,56,115
ACAUÃ,6,13
ACEGUÁ,19,40
ACOPIARA,26,38
ACORIZAL,11,23
ACRELÂNDIA,15,38
ACREÚNA,22,44
ADAMANTINA,35,76
ADELÂNDIA,11,22
ADOLFO,15,33
ADRIANÓPOLIS,13,26
ADUSTINA,13,30
AFOGADOS DA INGAZEIRA,35,62
AFONSO BEZERRA,15,32
AFONSO CLÁUDIO,44,91
AFONSO CUNHA,15,33
AFRÂNIO,10,22
AFUÁ,30,63
AGRESTINA,21,41
AGRICOLÂNDIA,12,24
AGROLÂNDIA,11,30
AGRONÔMICA,14,29
AGUANIL,13,30
AGUAÍ,56,103
AGUDO,23,49
AGUDOS,57,109
AGUDOS DO SUL,30,67
AGUIAR,4,12
AGUIARNÓPOLIS,16,27
AIMORÉS,34,65
AIQUARA,10,22
AIUABA,6,18
AIURUOCA,14,31
AJURICABA,16,23
ALAGOA,11,21
ALAGOA GRANDE,31,59
ALAGOA NOVA,12,26
ALAGOINHA,29,53
ALAGOINHA DO PIAUÍ,6,17
ALAGOINHAS,76,149
ALAMBARI,16,32
ALBERTINA,20,38
ALCANTIL,9,23
ALCINÓPOLIS,14,29
ALCOBAÇA,47,82
ALCÂNTARA,62,99
ALCÂNTARAS,9,15
ALDEIAS ALTAS,25,52
ALECRIM,10,14
ALEGRE,28,53
ALEGRETE,39,77
ALEGRETE DO PIAUÍ,6,18
ALEGRIA,10,20
ALENQUER,59,120
ALEXANDRIA,13,26
ALEXÂNIA,56,94
ALFENAS,81,160
ALFREDO CHAVES,24,52
ALFREDO MARCONDES,17,34
ALFREDO VASCONCELOS,23,49
ALFREDO WAGNER,13,31
ALGODÃO DE JANDAÍRA,7,16
ALHANDRA,30,53
ALIANÇA,37,64
ALIANÇA DO TOCANTINS,18,33
ALMADINA,14,33
ALMAS,16,32
ALMEIRIM,46,92
ALMENARA,43,87
ALMINO AFONSO,8,14
ALMIRANTE TAMANDARÉ,87,183
ALMIRANTE TAMANDARÉ DO SUL,13,14
ALOÂNDIA,4,13
ALPERCATA,15,36
ALPESTRE,9,19
ALPINÓPOLIS,34,64
ALTA FLORESTA,45,87
ALTA FLORESTA D'OESTE,22,48
ALTAIR,24,42
ALTAMIRA,75,147
ALTAMIRA DO MARANHÃO,10,16
ALTAMIRA DO PARANÁ,20,29
ALTANEIRA,9,11
ALTEROSA,20,44
ALTINHO,26,58
ALTINÓPOLIS,34,61
ALTO ALEGRE,45,86
ALTO ALEGRE DO MARANHÃO,23,42
ALTO ALEGRE DO PINDARÉ,19,37
ALTO ALEGRE DOS PARECIS,16,38
ALTO ARAGUAIA,30,58
ALTO BELA VISTA,9,20
ALTO BOA VISTA,16,31
ALTO CAPARAÓ,14,28
ALTO DO RODRIGUES,14,21
ALTO FELIZ,12,21
ALTO GARÇAS,17,28
ALTO HORIZONTE,26,34
ALTO JEQUITIBÁ,19,44
ALTO LONGÁ,8,18
ALTO PARAGUAI,18,36
ALTO PARANÁ,31,66
ALTO PARAÍSO,40,77
ALTO PARAÍSO DE GOIÁS,33,48
ALTO PARNAÍBA,17,42
ALTO PIQUIRI,20,42
ALTO RIO DOCE,24,47
ALTO RIO NOVO,18,40
ALTO SANTO,20,33
ALTO TAQUARI,22,43
ALTOS,34,63
ALTÔNIA,23,49
ALUMÍNIO,43,93
ALVARENGA,13,24
ALVARÃES,35,65
ALVINLÂNDIA,9,20
ALVINÓPOLIS,37,74
ALVORADA,132,241
ALVORADA DE MINAS,15,35
ALVORADA DO GURGUÉIA,14,21
ALVORADA DO NORTE,16,37
ALVORADA DO OESTE,18,36
ALVORADA DO SUL,22,52
ALÉM PARAÍBA,53,94
AMAJARI,25,32
AMAMBAI,58,102
AMAPORÃ,36,55
AMAPÁ,27,43
AMAPÁ DO MARANHÃO,15,22
AMARAJI,22,46
AMARAL FERRADOR,16,30
AMARALINA,14,26
AMARANTE,28,55
AMARANTE DO MARANHÃO,33,55
AMARGOSA,35,74
AMATURÁ,29,64
AMERICANA,90,188
AMERICANO DO BRASIL,20,33
AMETISTA DO SUL,11,25
AMONTADA,33,65
AMORINÓPOLIS,16,32
AMPARO,72,142
AMPARO DE SÃO FRANCISCO,10,20
AMPARO DO SERRA,20,45
AMPÉRE,29,52
AMÉLIA RODRIGUES,44,83
AMÉRICA DOURADA,13,35
AMÉRICO BRASILIENSE,59,102
AMÉRICO DE CAMPOS,13,20
ANADIA,9,21
ANAGÉ,31,50
ANAHY,15,31
ANAJATUBA,34,51
ANAJÁS,34,64
ANALÂNDIA,24,52
ANAMÃ,26,37
ANANINDEUA,146,263
ANANÁS,23,38
ANAPU,53,81
ANAPURUS,13,26
ANASTÁCIO,45,70
ANAURILÂNDIA,21,41
ANCHIETA,48,97
ANDARAÍ,14,26
ANDIRÁ,39,80
ANDORINHA,23,47
ANDRADAS,49,85
ANDRADINA,79,154
ANDRELÂNDIA,28,59
ANDRÉ DA ROCHA,11,19
ANGATUBA,41,78
ANGELIM,14,30
ANGELINA,18,31
ANGELÂNDIA,19,47
ANGICAL,42,60
ANGICAL DO PIAUÍ,12,26
ANGICO,10,16
ANGICOS,14,26
ANGRA DOS REIS,81,166
ANGUERA,11,23
ANGÉLICA,24,45
ANHANGÜERA,11,25
ANHEMBI,24,53
ANHUMAS,13,20
ANICUNS,37,69
ANITA GARIBALDI,17,33
ANITÁPOLIS,9,18
ANORI,11,25
ANTA GORDA,8,19
ANTAS,12,18
ANTONINA,46,84
ANTONINA DO NORTE,10,16
ANTONIO OLINTO,20,46
ANTÔNIO ALMEIDA,8,18
ANTÔNIO CARDOSO,22,42
ANTÔNIO CARLOS,45,100
