NM_CANDIDATO,DS_COR_RACA,SG_UF_y,NM_UE_y,SG_PARTIDO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,VR_BEM_CANDIDATO
JOÃO HENRIQUE PINHEIRO,BRANCA,SP,MARÍLIA,PRTB,SUPERIOR INCOMPLETO,EMPRESÁRIO,2851300000.0
CLERI CAMILOTTI,BRANCA,RS,DOIS IRMÃOS,PDT,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,1542273922.21
DIANILEY DA SILVA PINTO,PRETA,GO,COLINAS DO SUL,AGIR,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,1401171000.0
SANDRO DA MABEL ANTÔNIO SCODRO,BRANCA,GO,GOIÂNIA,UNIÃO,SUPERIOR COMPLETO,EMPRESÁRIO,313405916.29
FRANCIS MARIS CRUZ,BRANCA,MT,CÁCERES,PL,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,230205982.7
MIGUEL VAZ RIBEIRO,BRANCA,MT,LUCAS DO RIO VERDE,REPUBLICANOS,SUPERIOR COMPLETO,EMPRESÁRIO,219715755.2
PABLO HENRIQUE COSTA MARÇAL,BRANCA,SP,SÃO PAULO,PRTB,SUPERIOR COMPLETO,EMPRESÁRIO,169503058.17000002
RUY ADRIANO BORGES MUNIZ,BRANCA,MG,MONTES CLAROS,PSB,SUPERIOR COMPLETO,MÉDICO,158912018.75
FELIPE BEDRICHUK,BRANCA,SC,TRÊS BARRAS,PT,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,154945000.0
GEOVANIO GUALBERTO MACEDO,BRANCA,MG,PIMENTA,PSD,ENSINO MÉDIO COMPLETO,PRODUTOR AGROPECUÁRIO,136916420.02
CARLOS EDUARDO BORCHARDT,BRANCA,MT,TABAPORÃ,PL,ENSINO MÉDIO COMPLETO,AGRICULTOR,135957647.2
CARLA FARIA DE FREITAS,PARDA,GO,EDÉIA,PSDB,SUPERIOR COMPLETO,PRODUTOR AGROPECUÁRIO,109730414.46
